GEOID,name,acs_year,population_total,population_adult,adult_fraction
01001,Autauga,2023,59285,45359,0.76510078
01003,Baldwin,2023,239945,188817,0.78691784
01007,Bibb,2023,22152,17694,0.79875406
01009,Blount,2023,59292,45554,0.76829926
01015,Calhoun,2023,116141,91312,0.78621675
01021,Chilton,2023,45500,34534,0.75898901
01033,Colbert,2023,57648,45337,0.78644532
01051,Elmore,2023,88669,69414,0.78284406
01055,Etowah,2023,103208,80721,0.78211960
01061,Geneva,2023,26726,20816,0.77886702
01063,Greene,2023,7589,5967,0.78626960
01065,Hale,2023,14749,11234,0.76167876
01067,Henry,2023,17450,13880,0.79541547
01069,Houston,2023,107628,82816,0.76946519
01073,Jefferson,2023,669744,515654,0.76992702
01077,Lauderdale,2023,95037,76489,0.80483391
01079,Lawrence,2023,33182,25960,0.78235188
01081,Lee,2023,177663,140096,0.78854911
01083,Limestone,2023,107577,83624,0.77734088
01085,Lowndes,2023,10008,7809,0.78027578
01089,Madison,2023,397135,310781,0.78255757
01097,Mobile,2023,413162,316486,0.76600946
01101,Montgomery,2023,227197,172489,0.75920457
01103,Morgan,2023,123742,94858,0.76657885
01107,Pickens,2023,18843,15204,0.80687789
01113,Russell,2023,58858,44552,0.75694043
01115,St. Clair,2023,92903,72088,0.77594911
01117,Shelby,2023,226955,174730,0.76988830
01125,Tuscaloosa,2023,234036,185617,0.79311303
01129,Washington,2023,15270,12110,0.79305828
04003,Cochise,2023,125458,99244,0.79105358
04005,Coconino,2023,144643,115936,0.80153205
04013,Maricopa,2023,4491987,3466307,0.77166452
04015,Mohave,2023,217420,181878,0.83652838
04019,Pima,2023,1049947,841363,0.80133854
04021,Pinal,2023,449219,351626,0.78274962
04025,Yavapai,2023,241656,203933,0.84389794
04027,Yuma,2023,207685,156074,0.75149385
05007,Benton,2023,294541,218751,0.74268438
05025,Cleveland,2023,7491,5918,0.79001468
05031,Craighead,2023,112097,83729,0.74693346
05033,Crawford,2023,60792,46116,0.75858666
05035,Crittenden,2023,47609,34616,0.72708942
05045,Faulkner,2023,126001,97283,0.77208117
05047,Franklin,2023,17220,13328,0.77398374
05051,Garland,2023,100062,80058,0.80008395
05053,Grant,2023,18111,14243,0.78642814
05069,Jefferson,2023,65780,51558,0.78379447
05079,Lincoln,2023,12966,10898,0.84050594
05081,Little River,2023,11959,9298,0.77748976
05085,Lonoke,2023,74747,56067,0.75009030
05087,Madison,2023,17032,13050,0.76620479
05091,Miller,2023,42588,32525,0.76371278
05105,Perry,2023,10073,7873,0.78159436
05111,Poinsett,2023,22740,17256,0.75883905
05119,Pulaski,2023,398949,305494,0.76574700
05125,Saline,2023,125724,96345,0.76632147
05131,Sebastian,2023,128448,97738,0.76091492
05143,Washington,2023,251863,191964,0.76217626
06001,Alameda,2023,1651949,1320914,0.79960943
06007,Butte,2023,209470,166535,0.79503031
06013,Contra Costa,2023,1161458,903366,0.77778620
06017,El Dorado,2023,192299,154382,0.80282269
06019,Fresno,2023,1012152,728329,0.71958461
06025,Imperial,2023,179319,128203,0.71494376
06029,Kern,2023,910433,647883,0.71162073
06031,Kings,2023,152830,111456,0.72928090
06037,Los Angeles,2023,9848406,7790870,0.79107929
06039,Madera,2023,158790,115343,0.72638705
06041,Marin,2023,258765,207753,0.80286360
06047,Merced,2023,285597,202355,0.70853335
06053,Monterey,2023,435834,322633,0.74026579
06055,Napa,2023,136070,109047,0.80140369
06059,Orange,2023,3164063,2489230,0.78671948
06061,Placer,2023,412435,321825,0.78030478
06065,Riverside,2023,2449909,1851238,0.75563541
06067,Sacramento,2023,1584047,1218380,0.76915647
06069,San Benito,2023,66056,49236,0.74536757
06071,San Bernardino,2023,2187816,1623837,0.74221827
06073,San Diego,2023,3282782,2588613,0.78854246
06075,San Francisco,2023,836321,721593,0.86281822
06077,San Joaquin,2023,787416,578486,0.73466376
06079,San Luis Obispo,2023,281486,231922,0.82392019
06081,San Mateo,2023,745100,597036,0.80128305
06083,Santa Barbara,2023,443975,344367,0.77564503
06085,Santa Clara,2023,1903297,1504544,0.79049355
06087,Santa Cruz,2023,266021,216119,0.81241331
06089,Shasta,2023,181554,142150,0.78296264
06095,Solano,2023,450824,351400,0.77946161
06097,Sonoma,2023,485642,391704,0.80656945
06099,Stanislaus,2023,552250,403935,0.73143504
06101,Sutter,2023,98971,73803,0.74570329
06107,Tulare,2023,475774,332659,0.69919542
06111,Ventura,2023,838259,652464,0.77835609
06113,Yolo,2023,217782,173144,0.79503357
06115,Yuba,2023,83079,60439,0.72748829
08001,Adams,2023,524408,391408,0.74638068
08005,Arapahoe,2023,655709,505658,0.77116221
08013,Boulder,2023,328317,269185,0.81989358
08014,Broomfield,2023,75110,59265,0.78904274
08019,Clear Creek,2023,9358,8031,0.85819620
08031,Denver,2023,713734,582914,0.81671043
08035,Douglas,2023,368283,279823,0.75980428
08039,Elbert,2023,27152,21424,0.78903948
08041,El Paso,2023,736008,563588,0.76573624
08047,Gilpin,2023,5877,4953,0.84277693
08059,Jefferson,2023,579715,470425,0.81147633
08069,Larimer,2023,363561,295565,0.81297224
08077,Mesa,2023,157316,124509,0.79145796
08093,Park,2023,17739,15134,0.85314843
08101,Pueblo,2023,168726,131581,0.77985017
08119,Teller,2023,24774,20804,0.83975135
08123,Weld,2023,340711,253176,0.74308138
10001,Kent,2023,185043,142669,0.77100458
10003,New Castle,2023,573030,450477,0.78613162
10005,Sussex,2023,247799,202330,0.81650854
12001,Alachua,2023,281751,231412,0.82133515
12003,Baker,2023,28186,21372,0.75824878
12005,Bay,2023,181368,143219,0.78965970
12009,Brevard,2023,620533,507778,0.81829331
12011,Broward,2023,1946127,1539395,0.79100439
12015,Charlotte,2023,195083,172013,0.88174264
12017,Citrus,2023,158693,135185,0.85186492
