tractfips,depression_crudeprev
12001000200,26.0
12001000301,20.7
12001000302,20.0
12001000400,19.1
12001000500,19.6
12001000600,18.4
12001000700,18.7
12001000806,21.2
12001000808,19.5
12001000809,18.0
12001000901,22.0
12001000902,25.9
12001001000,21.5
12001001100,16.9
12001001201,17.9
12001001202,18.3
12001001203,19.9
12001001400,18.3
12001001514,20.2
12001001515,22.5
12001001516,22.6
12001001517,21.2
12001001519,21.4
12001001520,23.1
12001001521,22.3
12001001603,20.5
12001001604,21.9
12001001701,18.1
12001001702,17.6
12001001801,19.2
12001001802,20.5
12001001803,18.1
12001001805,18.5
12001001806,20.1
12001001811,17.5
12001001813,17.2
12001001814,18.2
12001001902,22.4
12001001907,19.1
12001001908,19.5
12001002000,20.2
12001002101,18.2
12001002102,19.8
12001002201,19.2
12001002202,18.2
12001002204,16.8
12001002205,17.1
12001002207,16.5
12001002208,16.6
12001002209,18.1
12001002210,19.6
12001002217,21.5
12001002218,21.2
12001002219,20.1
12001002220,18.6
12001110800,16.4
12003040101,21.2
12003040102,20.0
12003040201,20.7
12003040202,22.0
12005000201,23.8
12005000202,22.5
12005000300,23.1
12005000400,22.7
12005000500,21.0
12005000600,19.1
12005000700,21.6
12005000803,22.4
12005000804,21.2
12005000805,21.1
12005000806,21.5
12005000900,21.8
12005001000,22.7
12005001100,23.4
12005001200,24.4
12005001301,20.9
12005001302,22.1
12005001402,19.5
12005001403,22.4
12005001404,21.2
12005001501,20.3
12005001502,20.6
12005001600,20.6
12005001700,20.6
12005001800,24.4
12005001900,20.0
12005002000,21.5
12005002200,22.5
12005002300,22.9
12005002400,23.9
12005002500,19.8
12005002601,20.4
12005002603,22.9
12005002604,22.1
12005002605,22.1
12005002606,21.6
12005002607,21.8
12005002608,19.0
12005002701,20.8
12005002702,20.4
12005002703,20.2
12005002704,21.3
12005002705,20.1
12007000100,20.2
12007000200,20.0
12007000300,20.2
12007000400,19.7
12009060101,20.5
12009060102,20.5
12009060200,19.1
12009060300,20.8
12009060400,20.4
12009060500,19.9
12009060600,19.8
12009060700,22.5
12009061001,19.3
12009061002,20.9
12009061100,18.9
12009061201,20.2
12009061202,18.3
12009062103,19.8
12009062104,21.4
12009062106,20.9
12009062107,20.6
12009062108,20.4
12009062109,19.4
12009062301,21.0
12009062302,21.9
12009062400,22.2
12009062500,20.0
12009062600,21.0
12009062800,18.2
12009062900,18.7
12009063000,19.3
12009063102,17.8
12009063104,19.3
12009063105,19.6
12009063106,18.6
12009063107,16.8
12009064102,18.2
12009064123,19.6
12009064124,20.2
12009064125,19.6
12009064126,19.3
12009064127,18.0
12009064128,17.6
12009064201,20.5
12009064202,20.2
12009064301,20.9
12009064302,20.3
12009064400,20.7
12009064500,22.1
12009064601,18.8
12009064602,18.6
12009064700,18.5
12009064800,21.2
12009064901,19.2
12009064902,20.7
12009065001,19.9
12009065021,18.9
12009065022,18.1
12009065121,18.9
12009065122,20.2
12009065123,20.2
12009065124,18.2
12009065125,17.7
12009065201,19.1
12009065202,19.4
12009065231,19.2
12009065234,18.7
12009065235,17.1
12009065236,18.8
12009066101,17.3
12009066103,16.7
12009066104,16.8
12009066200,17.9
12009066301,17.7
12009066302,17.4
12009066400,18.1
12009066500,19.0
12009066600,18.1
12009066700,18.0
12009066800,19.3
12009066900,17.8
12009067100,21.8
12009068101,19.1
12009068102,17.1
12009068200,17.4
12009068300,16.0
12009068400,16.9
12009068501,17.7
12009068502,19.3
12009068601,19.1
12009068602,19.1
12009069100,18.4
12009069200,18.7
12009069300,19.9
12009069400,17.5
12009069700,20.5
12009069801,18.2
12009069802,20.5
12009069901,18.3
12009069902,19.4
12009071100,18.5
12009071200,19.2
12009071301,17.7
12009071322,21.1
12009071332,21.3
12009071334,20.6
12009071335,19.2
12009071336,19.2
12009071337,19.7
12009071338,19.2
12009071339,19.6
12009071340,19.6
12009071400,19.8
12009071500,19.0
12009071600,18.7
12011010102,17.6
12011010103,17.1
12011010104,16.8
12011010200,18.9
12011010304,16.3
12011010305,19.3
12011010306,17.6
12011010307,17.7
12011010308,16.5
12011010401,18.2
12011010402,15.7
12011010403,13.7
12011010405,20.4
12011010406,18.7
12011010407,17.8
12011010502,17.8
12011010503,16.7
12011010504,17.3
12011010601,16.2
12011010603,17.3
12011010604,17.6
12011010605,16.4
12011010606,18.2
12011010607,17.8
12011010609,17.2
12011010610,18.0
12011010611,16.6
12011010612,16.4
12011010701,19.1
12011010702,17.8
12011010800,18.5
12011010901,16.4
12011010902,16.9
12011011000,14.7
12011020101,18.2
12011020103,18.1
12011020104,17.3
12011020204,17.0
12011020205,17.1
12011020206,18.7
12011020207,16.3
12011020209,17.8
12011020210,18.2
12011020211,16.0
12011020212,16.1
12011020302,18.2
12011020308,17.9
12011020309,17.1
12011020311,18.0
12011020312,17.4
12011020313,18.0
12011020314,18.3
12011020315,17.7
12011020316,17.7
12011020317,18.0
12011020318,16.3
12011020319,18.1
12011020320,17.5
12011020321,17.8
12011020322,17.3
12011020323,18.0
12011020324,17.2
12011020325,17.0
12011020326,18.3
12011020404,16.7
12011020405,18.4
12011020406,17.0
12011020407,17.9
12011020409,14.9
12011020411,15.9
12011020412,18.2
12011020413,18.0
12011020414,16.1
12011020415,16.0
12011020501,16.5
12011020502,18.3
12011030100,17.1
12011030201,18.6
12011030202,19.0
12011030203,20.1
12011030301,19.8
12011030302,18.4
12011030401,15.8
12011030402,19.3
12011030500,18.5
12011030600,17.2
12011030702,18.7
12011030703,17.0
12011030704,14.5
12011030705,12.6
12011030801,17.4
12011030802,16.2
12011030902,17.8
12011030903,19.9
12011030904,17.4
12011031001,19.3
12011031002,18.6
12011031101,17.1
12011031102,17.6
12011031202,15.0
12011031203,15.3
12011031204,15.9
12011031205,16.6
12011040101,16.6
12011040102,15.5
12011040203,16.3
12011040204,16.2
12011040205,17.2
12011040206,16.2
12011040300,18.3
12011040401,15.9
12011040402,16.3
12011040502,15.8
12011040503,14.1
12011040504,14.3
12011040601,15.3
12011040602,16.5
12011040701,16.4
12011040702,17.6
12011040801,17.3
12011040802,17.4
12011040901,18.5
12011040902,17.6
12011041000,17.3
12011041100,17.8
12011041200,17.9
12011041300,16.6
12011041400,18.5
12011041500,19.6
12011041600,18.4
12011041700,18.5
12011041801,16.5
12011041802,17.3
12011041900,16.9
12011042000,15.5
12011042100,15.3
12011042200,14.2
12011042301,17.5
12011042302,17.0
12011042400,16.9
12011042500,16.5
12011042600,16.8
12011042700,18.5
12011042800,18.1
12011042900,16.8
12011043001,17.2
12011043002,18.0
12011043100,16.8
12011043301,17.2
12011043302,20.2
12011050100,19.6
12011050204,17.3
12011050205,13.6
12011050206,15.5
12011050207,17.4
12011050208,19.1
12011050301,16.8
12011050306,18.6
12011050307,17.8
12011050308,17.7
12011050309,19.8
12011050310,15.7
12011050311,17.5
12011050312,16.5
12011050401,16.7
12011050402,18.2
12011050501,18.9
12011050502,18.6
12011050601,16.9
12011050602,17.4
12011050701,17.1
12011050702,18.7
12011050800,16.8
