GEOID,state,county,svi_2022,svi_population
01001,Alabama,Autauga County,0.2663,58761
01003,Alabama,Baldwin County,0.3487,233420
01007,Alabama,Bibb County,0.8451,22251
01009,Alabama,Blount County,0.6166,59077
01015,Alabama,Calhoun County,0.8145,116162
01021,Alabama,Chilton County,0.5336,45140
01033,Alabama,Colbert County,0.4467,57270
01051,Alabama,Elmore County,0.4397,87694
01055,Alabama,Etowah County,0.672,103348
01061,Alabama,Geneva County,0.5822,26647
01063,Alabama,Greene County,0.9157,7706
01065,Alabama,Hale County,0.8826,14742
01067,Alabama,Henry County,0.6195,17282
01069,Alabama,Houston County,0.7175,107040
01073,Alabama,Jefferson County,0.7251,672265
01077,Alabama,Lauderdale County,0.4919,94329
01079,Alabama,Lawrence County,0.3624,33116
01081,Alabama,Lee County,0.6446,175126
01083,Alabama,Limestone County,0.3233,104199
01085,Alabama,Lowndes County,0.9042,10153
01089,Alabama,Madison County,0.3509,389781
01097,Alabama,Mobile County,0.8304,413878
01101,Alabama,Montgomery County,0.929,228132
01103,Alabama,Morgan County,0.6787,123102
01107,Alabama,Pickens County,0.8918,18925
01113,Alabama,Russell County,0.8963,58849
01115,Alabama,St. Clair County,0.2587,91719
01117,Alabama,Shelby County,0.1238,223916
01125,Alabama,Tuscaloosa County,0.651,231558
01129,Alabama,Washington County,0.3217,15434
04003,Arizona,Cochise County,0.9325,125504
04005,Arizona,Coconino County,0.8031,144705
04013,Arizona,Maricopa County,0.713,4430871
04015,Arizona,Mohave County,0.8489,214229
04019,Arizona,Pima County,0.888,1042393
04021,Arizona,Pinal County,0.797,433338
04025,Arizona,Yavapai County,0.5991,237830
04027,Arizona,Yuma County,0.9978,204374
05007,Arkansas,Benton County,0.3268,286528
05025,Arkansas,Cleveland County,0.286,7548
05031,Arkansas,Craighead County,0.8342,111038
05033,Arkansas,Crawford County,0.7531,60593
05035,Arkansas,Crittenden County,0.9205,47945
05045,Arkansas,Faulkner County,0.5326,124611
05047,Arkansas,Franklin County,0.6198,17160
05051,Arkansas,Garland County,0.8661,100021
05053,Arkansas,Grant County,0.1852,18022
05069,Arkansas,Jefferson County,0.9096,66934
05079,Arkansas,Lincoln County,0.5864,13016
05081,Arkansas,Little River County,0.4197,12024
05085,Arkansas,Lonoke County,0.4063,74292
05087,Arkansas,Madison County,0.5272,16737
05091,Arkansas,Miller County,0.9354,42682
05105,Arkansas,Perry County,0.4292,10055
05111,Arkansas,Poinsett County,0.7381,22997
05119,Arkansas,Pulaski County,0.7811,398322
05125,Arkansas,Saline County,0.2864,123988
05131,Arkansas,Sebastian County,0.8696,128184
05143,Arkansas,Washington County,0.7658,247331
06001,California,Alameda County,0.5129,1663823
06007,California,Butte County,0.8225,213605
06013,California,Contra Costa County,0.4785,1162648
06017,California,El Dorado County,0.1896,191713
06019,California,Fresno County,0.9618,1008280
06025,California,Imperial County,0.9936,179578
06029,California,Kern County,0.9685,906883
06031,California,Kings County,0.9507,152515
06037,California,Los Angeles County,0.8629,9936690
06039,California,Madera County,0.9593,157243
06041,California,Marin County,0.37,260485
06047,California,Merced County,0.973,282290
06053,California,Monterey County,0.8686,437609
06055,California,Napa County,0.6831,137384
06059,California,Orange County,0.5692,3175227
06061,California,Placer County,0.1992,406608
06065,California,Riverside County,0.8199,2429487
06067,California,Sacramento County,0.7509,1579211
