GEOID,adult_population,baseline_ndvi,feasible_increment,median_income,acs_population,households,low_income_households,high_income_households,occupied_households,renter_households,race_total,nonhisp_white,svi,ice_income,renter_share,minority_share,cases,rate,health_efficiency,z_health_efficiency,z_svi,z_baseline_ndvi,z_renter_share,health_score,equity_score,balanced_score,safeguard_flag,local_moran_i,lisa_p,priority_cluster,priority_decile
06075025600,4820.656925201416,0.2138720495121007,0.15000000000000002,114250.0,5290.0,1656.0,85.0,674.0,1656.0,559.0,5290.0,908.0,0.7352,0.3556763285024155,0.33756038647342995,0.8283553875236295,23.140270233154297,0.00480023170953769,154.26846822102863,1.0,0.762424991983876,0.4209156190409044,0.1716753731612134,1.0,0.8537114043382209,0.9268557021691104,0,0.5036903944994172,0.636,not significant,10.0
06075012802,1894.8754920959473,0.19143265605988827,0.15000000000000002,250001.0,2035.0,935.0,9.0,678.0,935.0,702.0,2035.0,1433.0,0.0776,0.7155080213903743,0.7508021390374332,0.29582309582309585,13.153675079345703,0.0069417094337930595,87.691167195638,0.6601432884269365,0.009367413311346258,0.3419202939563366,0.7018115894556699,0.6601432884269365,0.43206219477898894,0.5461027416029627,0,-0.5098595623729788,0.024,high-low outlier,8.0
06075035202,3599.7088356018066,0.1940520476953811,0.30000000000000004,118590.0,4559.0,1709.0,170.0,642.0,1709.0,1099.0,4559.0,1693.0,0.691,0.2761849034523113,0.6430661205383265,0.62864663303356,22.076204299926758,0.006132774984906803,73.58734766642252,0.553373292528787,0.711808895607164,0.35114156342648584,0.5636000828705505,0.553373292528787,0.623148525212928,0.5882609088708575,0,0.04247430695605978,0.94,not significant,10.0
06075026003,4379.229890823364,0.22332060086196875,0.15000000000000002,99044.0,4873.0,1393.0,71.0,444.0,1393.0,427.0,4873.0,610.0,0.5348,0.26776740847092606,0.3065326633165829,0.8748204391545249,21.075359344482422,0.004812572043464912,140.50239562988278,1.0,0.5329348174614081,0.4541781663129862,0.13187078020190163,1.0,0.7684004611645449,0.8842002305822725,0,2.370436089079218,0.014,high-high priority,10.0
06075026403,4008.7052507400513,0.1855157283838929,0.9948871016502382,73750.0,3453.0,1109.0,249.0,344.0,1109.0,335.0,3453.0,175.0,0.7494,0.08566275924256087,0.30207394048692515,0.9493194323776426,17.080516815185547,0.004260856248294208,17.168296570388506,0.1262647463918444,0.7786862718153084,0.3210904249911821,0.1261508101462273,0.1262647463918444,0.4375090045826028,0.2818868754872236,0,0.11589443239075571,0.586,not significant,8.0
06075011200,3363.244697570801,0.157221479056289,0.32887233495712287,118347.0,2678.0,1633.0,333.0,758.0,1633.0,1271.0,2678.0,1348.0,0.4121,0.26025719534598896,0.7783221065523577,0.4966392830470501,21.621883392333984,0.006428876081467104,65.74552218006711,0.49400840394113893,0.3924236177912144,0.22148374763522571,0.7371161814055087,0.49400840394113893,0.5011299060522106,0.49756915499667476,0,1.028381605862569,0.01,high-high priority,9.0
06075022901,3583.552188873291,0.24310118364666006,0.30000000000000004,94214.0,4197.0,1408.0,145.0,456.0,1408.0,1090.0,4197.0,1093.0,0.8091,0.22088068181818182,0.7741477272727273,0.7395758875387182,23.1732234954834,0.006466551140913988,77.24407831827799,0.5810558019292006,0.847052356740415,0.5238134517215065,0.7317609876891176,0.5810558019292006,0.6584242080655196,0.61974000499736,0,-0.5097436535681907,0.472,not significant,10.0
06075012901,2728.1463775634766,0.17107130080723582,0.15000000000000002,231841.0,2887.0,1454.0,38.0,1047.0,1454.0,1130.0,2887.0,1928.0,0.0955,0.6939477303988996,0.7771664374140302,0.3321787322480083,18.33584976196289,0.006720991920653006,122.23899841308592,0.9216803699058895,0.029865787183363114,0.2702404653205467,0.7356336059869315,0.9216803699058895,0.5807571406690398,0.7512187552874647,0,-0.8980940903491557,0.088,not significant,9.0
06075061101,2119.3026580810547,0.13325679101014756,0.15000000000000002,17569.0,1814.0,935.0,532.0,51.0,935.0,865.0,1814.0,39.0,0.9666,-0.5144385026737968,0.9251336898395722,0.9785005512679162,9.276110649108887,0.004376963627039491,61.8407376607259,0.4644480549697415,1.0,0.13711879691644652,0.9254566305231907,0.4644480549697415,0.7116562079474037,0.5880521314585726,1,0.3383071312137131,0.666,not significant,10.0
06075016500,4576.509906768799,0.23371452533510173,0.5394890904426576,180152.0,5393.0,2303.0,336.0,1210.0,2303.0,1573.0,5393.0,3650.0,0.438,0.3795049934867564,0.683022145028224,0.3231967365102911,31.903478622436523,0.006971137236095632,59.136466682318485,0.443975940967294,0.42208327607530577,0.4907687918309246,0.6148585423795814,0.443975940967294,0.4461017983353653,0.44503886965132966,0,-0.1839599796137012,0.404,not significant,8.0
06075026100,6249.213490217924,0.15663441561754216,1.850458753108978,123070.0,6601.0,2007.0,176.0,843.0,2007.0,663.0,6601.0,493.0,0.7552,0.3323368211260588,0.3303437967115097,0.9253143463111649,30.681425094604492,0.004909645852655062,16.58044257568901,0.12181452150965835,0.7853282030140625,0.21941705776288878,0.16241741322082434,0.12181452150965835,0.45285957314531766,0.287337047327488,0,0.3197990229606395,0.18,not significant,8.0
06075015702,3288.560393333435,0.208471355146898,0.15000000000000002,211641.0,3109.0,1397.0,53.0,963.0,1397.0,742.0,3109.0,1683.0,0.1218,0.651395848246242,0.5311381531853973,0.4586683821164361,21.36443328857422,0.006496591436144572,142.42955525716144,1.0,0.059983509688058274,0.40190309056190854,0.4200108430566932,1.0,0.6107087648065341,0.8053543824032671,0,-0.36387736112921304,0.522,not significant,10.0
06075015202,2364.8562545776367,0.1971594942912746,0.15000000000000002,177533.0,2334.0,1065.0,120.0,579.0,1065.0,521.0,2334.0,1161.0,0.5045,0.4309859154929577,0.4892018779342723,0.5025706940874036,13.99040412902832,0.005915963856977432,93.26936086018878,0.7023718289616082,0.4982364527506756,0.3620809747144206,0.36621197556769003,0.7023718289616082,0.6212565267363774,0.6618141778489928,0,0.14194351295541366,0.824,not significant,10.0
06075020701,2669.260383605957,0.24994007441825394,0.2739540219306946,217386.0,3032.0,1397.0,70.0,1024.0,1397.0,896.0,3032.0,1854.0,0.3638,0.6828919112383679,0.6413743736578382,0.38852242744063326,16.546920776367188,0.006199065807890058,60.40035718312344,0.45354395786563284,0.3371123631533141,0.547888986600398,0.5614297884010654,0.45354395786563284,0.41257795804641667,0.43306095795602473,0,0.027649653340660392,0.862,not significant,8.0
06075020201,2375.2484970092773,0.2046201947815479,0.15000000000000002,-666666666.0,1847.0,1005.0,237.0,445.0,1005.0,765.0,1847.0,852.0,0.6253,0.20696517412935322,0.7611940298507462,0.5387114239306985,12.951543807983398,0.005452711084457456,86.34362538655597,0.6499420069137806,0.6365718473730017,0.3883455197807946,0.7151430537661685,0.6499420069137806,0.6395193220703216,0.6447306644920511,0,0.8090301254337227,0.214,not significant,10.0
06075020702,2340.050064086914,0.20145840067174528,0.15000000000000002,148898.0,2046.0,1104.0,163.0,526.0,1104.0,888.0,2046.0,1162.0,0.3507,0.328804347826087,0.8043478260869565,0.4320625610948191,15.500226020812988,0.006623886496574237,103.33484013875324,0.7785704203473713,0.322110759928542,0.3772147842693273,0.7705038446675264,0.7785704203473713,0.5954417585082762,0.6870060894278238,0,0.06158504110447565,0.916,not significant,9.0
06075047701,3902.671802520752,0.2106069389556784,0.30000000000000004,116750.0,4742.0,2008.0,238.0,815.0,2008.0,1168.0,4742.0,1549.0,0.5106,0.2873505976095618,0.5816733067729084,0.6733445803458457,23.40226173400879,0.005996471883414119,78.00753911336263,0.5868354211160975,0.5052219321148825,0.4094211697639698,0.4848409696025171,0.5868354211160975,0.5588322113336622,0.5728338162248798,0,0.048635325379394516,0.938,not significant,9.0
06075023400,4028.2950201323256,0.1709106767582496,9.062304258346568,80788.0,3811.0,1169.0,304.0,450.0,1169.0,520.0,3811.0,341.0,0.9005,0.12489307100085544,0.4448246364414029,0.910522172658095,23.507553100585938,0.005835608609374826,2.5939929217157984,0.015933049537401708,0.9517200311483669,0.26967500667777694,0.3092816611726764,0.015933049537401708,0.45061728466896267,0.2332751671031822,0,0.11263589560089027,0.672,not significant,8.0
06075023300,4612.755947113037,0.15432779610651237,1.6860235691070558,92574.0,3934.0,1281.0,244.0,341.0,1281.0,609.0,3934.0,296.0,0.9042,0.07572209211553474,0.47540983606557374,0.9247585155058464,22.603248596191406,0.004900161390575626,13.40624710730612,0.0977849431080679,0.9559571251889515,0.21129686688035673,0.34851855314393787,0.0977849431080679,0.5017829353381134,0.29978393922309066,0,0.5380852499927903,0.134,not significant,9.0
06075012405,5164.349745750427,0.16033446856572175,1.0682533502578737,107311.0,3878.0,2513.0,314.0,1034.0,2513.0,2470.0,3878.0,1337.0,0.625,0.28651014723438123,0.9828889773179467,0.6552346570397112,29.568084716796875,0.005725422593837196,27.67890660924135,0.20583310646698144,0.6362282992075489,0.23244267211801933,0.9995492636726977,0.20583310646698144,0.4407300571384299,0.32328158180270566,0,0.7541322581124802,0.002,high-high priority,8.0
06075015801,3918.217089653015,0.26686979705103175,0.9111553311347963,149643.0,3220.0,1416.0,205.0,706.0,1416.0,1093.0,3220.0,1333.0,0.7377,0.3538135593220339,0.7718926553672316,0.5860248447204969,24.93008041381836,0.006362608258652174,27.360955439693523,0.2034261240890439,0.7652878933626495,0.6074881440293164,0.7288680193962628,0.2034261240890439,0.4284406031170518,0.31593336360304786,0,0.2848410074448906,0.176,not significant,8.0
06075016200,3986.565347671509,0.1641397138370476,0.30000000000000004,125913.0,3198.0,1872.0,148.0,848.0,1872.0,1406.0,3198.0,1424.0,0.4209,0.37393162393162394,0.7510683760683761,0.5547217010631644,25.5228271484375,0.006402209652312607,85.07609049479166,0.640346400921085,0.4025010306444964,0.24583860404795577,0.7021531374511127,0.640346400921085,0.5741727705789228,0.6072595857500038,0,1.2403177918503527,0.006,high-high priority,9.0
06075012100,3301.347297668457,0.09981103485747092,0.15,92059.0,3250.0,2080.0,264.0,700.0,2080.0,1933.0,3250.0,1425.0,0.534,0.20961538461538462,0.9293269230769231,0.5615384615384615,20.505474090576172,0.006211244150246766,136.70316060384116,1.0,0.5320186890202007,0.019376827392783697,0.9308360114514164,1.0,0.8333000170481527,0.9166500085240763,0,2.730091482799659,0.006,high-high priority,10.0
06075013500,2783.559150695801,0.23246977553624687,0.15000000000000002,182241.0,2544.0,1614.0,74.0,911.0,1614.0,1168.0,2544.0,1856.0,0.221,0.5185873605947955,0.7236679058240396,0.2704402515723271,18.23556137084961,0.006551167186905765,121.57040913899738,0.9166189555915536,0.17358343639778295,0.486386792147248,0.667001845187218,0.9166189555915536,0.5961056617129137,0.7563623086522336,0,-0.2939185900427455,0.598,not significant,9.0
