GEOID,adult_population,baseline_ndvi,feasible_increment,median_income,acs_population,households,low_income_households,high_income_households,occupied_households,renter_households,race_total,nonhisp_white,svi,ice_income,renter_share,minority_share,cases,rate,health_efficiency,z_health_efficiency,z_svi,z_baseline_ndvi,z_renter_share,health_score,equity_score,balanced_score,safeguard_flag,local_moran_i,lisa_p,priority_cluster,priority_decile
06075032700,5127.755856513977,0.23033945127687555,4.066847932338713,158889.0,6729.0,2414.0,285.0,1253.0,2414.0,842.0,6729.0,2270.0,0.5455,0.4009942004971003,0.3487986743993372,0.662654183385347,26.713146209716797,0.00520951990640937,6.568513663198351,0.054336556232432956,0.5451880353625578,0.4788872285889475,0.18609265651097703,0.054336556232432956,0.29615100620476953,0.17524378121860124,0,-0.047679740342899006,0.364,not significant,5.0
06075035400,5343.773316242645,0.19124567259686062,17.386251294612897,142540.0,7154.0,2444.0,260.0,1085.0,2444.0,499.0,7154.0,2331.0,0.6032,0.33756137479541737,0.2041734860883797,0.6741682974559686,27.31976890563965,0.005112449067141369,1.5713432667400038,0.01018010564868153,0.6112637991846456,0.34126204000313753,0.0005570719861064986,0.01018010564868153,0.3178430765384961,0.16401159109358882,0,0.011077729281696822,0.336,not significant,6.0
06075022903,2323.366522550583,0.255003994380508,0.8043430328369142,201250.0,2675.0,1058.0,77.0,623.0,1058.0,593.0,2675.0,1092.0,0.1961,0.5160680529300568,0.5604914933837429,0.5917757009345794,12.581549644470215,0.005415223780817087,15.642019798561748,0.13451269462697224,0.14506893866520087,0.5657159392082036,0.4576674172334393,0.13451269462697224,0.1831730849650759,0.15884288979602407,0,0.20913067242712718,0.472,not significant,3.0
06075010800,3569.4035720825195,0.18812091149894364,0.9336979269981386,150298.0,4334.0,2382.0,360.0,1196.0,2382.0,1911.0,4334.0,2012.0,0.5305,0.3509655751469353,0.8022670025188917,0.5357637286571297,21.80989646911621,0.0061102355137700294,23.358621496821307,0.20269883088624052,0.528010627089918,0.3302616749858191,0.7678344146636467,0.20269883088624052,0.3866138836767187,0.2946563572814796,0,0.3220788998954089,0.01,high-high priority,7.0
06075022902,1681.794288635254,0.2139428659815695,0.0,199671.0,2019.0,727.0,52.0,438.0,727.0,399.0,2019.0,653.0,0.6217,0.530949105914718,0.5488308115543329,0.6765725606736008,9.88931655883789,0.005880217708946375,,,0.6324492693875681,0.4211649203439429,0.4427082566304711,,,,0,,,not ranked (missing SVI or zero feasible capacity),
06075025600,4088.428153991699,0.2138720495121007,0.15000000000000002,114250.0,5290.0,1656.0,85.0,674.0,1656.0,559.0,5290.0,908.0,0.7352,0.3556763285024155,0.33756038647342995,0.8283553875236295,19.825828552246094,0.0048492544825299985,132.17219034830728,1.0,0.762424991983876,0.4209156190409044,0.1716753731612134,1.0,0.8537114043382209,0.9268557021691104,0,0.5036807927661173,0.652,not significant,10.0
06075030202,3637.3717918395996,0.2294173793796497,1.1060731172561646,149306.0,4017.0,2045.0,155.0,1015.0,2045.0,1573.0,4017.0,1863.0,0.367,0.42053789731051344,0.7691931540342298,0.5362210604929052,20.900936126708984,0.005746164352404114,18.8965230242264,0.16327043139747957,0.34077687691814396,0.47564117965149205,0.7254049050965097,0.16327043139747957,0.27956094567236633,0.22141568853492294,0,0.10303703145696883,0.274,not significant,5.0
06075030600,1904.977819442749,0.3392971360098413,6.779870247840887,238750.0,2356.0,903.0,0.0,701.0,903.0,137.0,2356.0,1173.0,0.1212,0.7763012181616833,0.15171650055370986,0.5021222410865874,9.840728759765625,0.005165797028883134,1.4514626976673333,0.009120806084279834,0.05929641335715268,0.8624603293624824,0.0,0.009120806084279834,0.04594509831277099,0.027532952198525414,0,1.6820697689484145,0.002,low-low priority,1.0
06075011902,2157.3108978271484,0.13340163478054679,0.0,77241.0,2732.0,1678.0,206.0,359.0,1678.0,1592.0,2732.0,1138.0,0.6694,0.09117997616209773,0.9487485101311085,0.5834553440702781,13.407833099365234,0.006215067616294737,,,0.6870734276945627,0.1376287028884385,0.9557514189857618,,,,0,,,not ranked (missing SVI or zero feasible capacity),
06075012601,2146.673324584961,0.17860086346535306,0.0,176750.0,2045.0,1291.0,74.0,742.0,1291.0,1028.0,2045.0,1370.0,0.0701,0.517428350116189,0.796281951975213,0.33007334963325186,14.718231201171875,0.006856297617625405,,,0.0007787091750263387,0.29674743179400764,0.7601563617324741,,,,0,,,not ranked (missing SVI or zero feasible capacity),
