scenario,svi_decile,adult_population,mean_svi,preventable_cases,preventable_per_1000_adults
uniform_005,1,21911839,0.11007844956327033,124022.62011766434,5.660073539133997
uniform_005,2,21933699,0.26216131100367523,123360.35150623322,5.624238369744803
uniform_005,3,21818200,0.3720493663959447,130986.32914352417,6.0035350827989555
uniform_005,4,21798499,0.4793827768462407,128012.76819229126,5.872549673823471
uniform_005,5,21597788,0.5832761563452702,131589.26277542114,6.092719438463844
uniform_005,6,23522733,0.6813879554471837,135096.74121665955,5.743241706508319
uniform_005,7,20670799,0.7567532432974652,124401.09700012207,6.018204569650262
uniform_005,8,21663614,0.8121225720325336,120149.36060333252,5.54613651274125
uniform_005,9,22187277,0.869212247897748,116011.1397972107,5.22872364180655
uniform_005,10,21538781,0.9353864747406085,130674.19855308533,6.066926375874536
proportional_10pct,1,21911839,0.11007844956327033,153884.80347514153,7.022906816499589
proportional_10pct,2,21933699,0.26216131100367523,146899.79812717438,6.697447527075774
proportional_10pct,3,21818200,0.3720493663959447,152080.13969230652,6.970333927285776
proportional_10pct,4,21798499,0.47938277684624064,142956.640750885,6.558095617082856
proportional_10pct,5,21597788,0.5832761563452702,146140.78005313873,6.766469790940569
proportional_10pct,6,23522733,0.6813879554471837,136502.521484375,5.803004331357883
proportional_10pct,7,20670799,0.7567532432974652,129244.11884498596,6.252497489090091
proportional_10pct,8,21663614,0.8121225720325335,121043.45272064209,5.5874081176225765
proportional_10pct,9,22187277,0.869212247897748,84941.15361022949,3.8283721616775908
proportional_10pct,10,21538781,0.9353864747406085,120341.36467599869,5.5871947756002855
greenable_005,1,21911839,0.11007844956327034,36752.80924677849,1.6773037282164445
greenable_005,2,21933699,0.26216131100367523,46471.34771466255,2.1187191323571346
greenable_005,3,21818200,0.3720493663959447,54676.79533982277,2.506017698060462
greenable_005,4,21798499,0.4793827768462407,59479.50359129906,2.7286054691792794
greenable_005,5,21597788,0.5832761563452702,63070.67256116867,2.9202375984600213
greenable_005,6,23522733,0.6813879554471839,74871.97518289089,3.182962421198714
greenable_005,7,20670799,0.7567532432974652,71956.59666204453,3.4810747597151193
greenable_005,8,21663614,0.8121225720325335,74650.18400454521,3.44587860569087
greenable_005,9,22187277,0.869212247897748,96122.6326007843,4.332331209493815
greenable_005,10,21538781,0.9353864747406088,92119.86585474014,4.27693033578549
best_potential_p95,1,21911839,0.11007844956327034,519161.758890152,23.693207990901723
best_potential_p95,2,21933699,0.26216131100367523,593790.8566093445,27.07208011787453
best_potential_p95,3,21818200,0.3720493663959447,660736.0073490143,30.28370843373946
best_potential_p95,4,21798499,0.4793827768462407,650554.7462844849,29.84401569504785
best_potential_p95,5,21597788,0.5832761563452702,687955.5396194458,31.853055489730977
best_potential_p95,6,23522733,0.6813879554471839,669809.2104644775,28.474973994921317
best_potential_p95,7,20670799,0.7567532432974652,695977.0382919312,33.66957601841763
best_potential_p95,8,21663614,0.8121225720325335,704189.2792663574,32.50562345074822
best_potential_p95,9,22187277,0.869212247897748,711391.4006652832,32.06303327196407
best_potential_p95,10,21538781,0.9353864747406085,800124.2671451569,37.148075703316586
