GEOID,expected_in_aoi,file_present,path,readable,crs,pixel_size_x,pixel_size_y,width,height,sampled_valid_fraction,unmasked_nonfinite_count,sampled_min,sampled_max,qa_status,qa_note
01001,1,1,01001_ndvi.tif,1,EPSG:5070,90.0,90.0,558,535,0.6518373362811107,0,-0.38174763321876526,0.9846489429473877,pass,
01003,1,1,01003_ndvi.tif,1,EPSG:5070,90.0,90.0,734,1369,0.5375161965117042,0,-0.7256642580032349,0.9772990942001343,pass,
01007,1,1,01007_ndvi.tif,1,EPSG:5070,90.0,90.0,581,541,0.6407971468657837,0,-0.02083248272538185,0.9455916881561279,pass,
01009,1,1,01009_ndvi.tif,1,EPSG:5070,90.0,90.0,644,631,0.515931529367759,0,-0.051501087844371796,0.9644901752471924,pass,
01015,1,1,01015_ndvi.tif,1,EPSG:5070,90.0,90.0,600,524,0.6268797709923664,0,-0.2554962635040283,0.9529179334640503,pass,
01021,1,1,01021_ndvi.tif,1,EPSG:5070,90.0,90.0,679,544,0.6100071471887725,0,-0.08372505009174347,0.9896193742752075,pass,
01033,1,1,01033_ndvi.tif,1,EPSG:5070,90.0,90.0,710,412,0.6861445371256666,0,-0.1453399509191513,0.956944465637207,pass,
01051,1,1,01051_ndvi.tif,1,EPSG:5070,90.0,90.0,614,493,0.6989613547317164,0,-0.30367767810821533,0.977632462978363,pass,
01055,1,1,01055_ndvi.tif,1,EPSG:5070,90.0,90.0,640,467,0.5915149892933619,0,-0.3470929265022278,0.9697964191436768,pass,
01061,1,1,01061_ndvi.tif,1,EPSG:5070,90.0,90.0,768,333,0.7280366303803804,0,-0.16398397088050842,0.9719536900520325,pass,
01063,1,1,01063_ndvi.tif,1,EPSG:5070,90.0,90.0,522,785,0.5207482246138078,0,-0.3068552017211914,0.9787024259567261,pass,
01065,1,1,01065_ndvi.tif,1,EPSG:5070,90.0,90.0,456,674,0.6880010672080795,0,-0.3026931881904602,0.9717483520507812,pass,
01067,1,1,01067_ndvi.tif,1,EPSG:5070,90.0,90.0,415,597,0.7378176020665577,0,-0.710248589515686,0.9885033369064331,pass,
01069,1,1,01069_ndvi.tif,1,EPSG:5070,90.0,90.0,775,432,0.5592891278375149,0,0.023406563326716423,0.99970942735672,pass,
01073,1,1,01073_ndvi.tif,1,EPSG:5070,90.0,90.0,837,765,0.5641545825817383,0,-0.30585700273513794,0.9798554182052612,pass,
01077,1,1,01077_ndvi.tif,1,EPSG:5070,90.0,90.0,1013,385,0.5938872578556685,0,-0.22429078817367554,0.9637318253517151,pass,
01079,1,1,01079_ndvi.tif,1,EPSG:5070,90.0,90.0,455,635,0.797670675780912,0,-0.21888244152069092,0.9772485494613647,pass,
01081,1,1,01081_ndvi.tif,1,EPSG:5070,90.0,90.0,744,451,0.5906885535131011,0,-0.245370551943779,0.9751437902450562,pass,
01083,1,1,01083_ndvi.tif,1,EPSG:5070,90.0,90.0,519,547,0.6876745816205402,0,-0.4498594105243683,0.966482937335968,pass,
01085,1,1,01085_ndvi.tif,1,EPSG:5070,90.0,90.0,556,573,0.7323282735068489,0,-0.3381209075450897,0.9854142665863037,pass,
