GEOID,name,county_features,prevalence_tracts,preventable_cases,avoided_cost,adult_population,preventable_per_1000_adults
06037,Los Angeles,1,2323,273266.3125,5815105536.0,7790870,35.08
17031,Cook,1,1314,145470.9375,3095621632.0,4074847,35.7
48201,Harris,1,785,122006.8671875,2596305664.0,3515154,34.71
06073,San Diego,1,626,90099.1171875,1917309056.0,2588613,34.81
06059,Orange,1,580,90027.453125,1915784320.0,2489230,36.17
36047,Kings,1,749,88956.28125,1892989696.0,2051269,43.37
48113,Dallas,1,527,79494.8359375,1691650176.0,1941989,40.93
04013,Maricopa,1,909,79312.84375,1687777664.0,3466307,22.88
53033,King,1,397,74922.1015625,1594342144.0,1815592,41.27
42101,Philadelphia,1,376,71870.0546875,1529394816.0,1243710,57.79
36061,New York,1,281,70941.90625,1509643520.0,1398269,50.74
36081,Queens,1,646,65683.09375,1397736320.0,1869189,35.14
12086,Miami-Dade,1,511,60629.65625,1290199040.0,2144601,28.27
48439,Tarrant,1,356,57614.2578125,1226031360.0,1587266,36.3
36005,Bronx,1,333,55462.671875,1180245632.0,1071887,51.74
48029,Bexar,1,362,54542.33203125,1160660864.0,1529319,35.66
49035,Salt Lake,1,211,53981.37109375,1148723584.0,878345,61.46
06085,Santa Clara,1,372,53763.5703125,1144088576.0,1504544,35.73
06067,Sacramento,1,317,52836.94921875,1124370432.0,1218380,43.37
06065,Riverside,1,452,52459.98046875,1116348288.0,1851238,28.34
26163,Wayne,1,601,50473.6484375,1074079104.0,1352595,37.32
06001,Alameda,1,359,49939.47265625,1062712192.0,1320914,37.81
39049,Franklin,1,283,43330.21484375,922066944.0,1012711,42.79
12011,Broward,1,360,42127.16796875,896466176.0,1539395,27.37
12099,Palm Beach,1,331,40707.609375,866257920.0,1222641,33.29
39035,Cuyahoga,1,443,38208.55078125,813078016.0,991791,38.52
25017,Middlesex,1,317,35454.1640625,754464512.0,1304428,27.18
48085,Collin,1,152,34800.765625,740560384.0,836553,41.6
48453,Travis,1,217,32701.173828125,695880960.0,1039958,31.44
06013,Contra Costa,1,207,32677.703125,695381504.0,903366,36.17
27053,Hennepin,1,299,32322.607421875,687825088.0,992536,32.57
32003,Clark,1,487,31493.77734375,670187456.0,1776818,17.72
41051,Multnomah,1,170,30862.328125,656750336.0,659774,46.78
