GEOID,name,county_features,prevalence_tracts,preventable_cases,avoided_cost,adult_population,preventable_per_1000_adults
06037,Los Angeles,1,2323,35420.015625,753737664.0,7790870,4.55
04013,Maricopa,1,909,19389.66015625,412612096.0,3466307,5.59
17031,Cook,1,1314,15270.478515625,324955776.0,4074847,3.75
48201,Harris,1,785,13683.1171875,291176736.0,3515154,3.89
06073,San Diego,1,626,12632.8251953125,268826496.0,2588613,4.88
06059,Orange,1,580,11955.6640625,254416512.0,2489230,4.8
36047,Kings,1,749,10499.9990234375,223439968.0,2051269,5.12
32003,Clark,1,487,9828.0693359375,209141344.0,1776818,5.53
48113,Dallas,1,527,9823.416015625,209042288.0,1941989,5.06
06065,Riverside,1,452,9143.7900390625,194579792.0,1851238,4.94
06071,San Bernardino,1,368,8558.0771484375,182115824.0,1623837,5.27
48029,Bexar,1,362,8501.2109375,180905776.0,1529319,5.56
48439,Tarrant,1,356,8171.45654296875,173888576.0,1587266,5.15
36081,Queens,1,646,8098.83447265625,172343216.0,1869189,4.33
12086,Miami-Dade,1,511,8005.75341796875,170362432.0,2144601,3.73
36061,New York,1,281,7708.4521484375,164035872.0,1398269,5.51
42101,Philadelphia,1,376,6954.0673828125,147982544.0,1243710,5.59
53033,King,1,397,6902.49267578125,146885040.0,1815592,3.8
49035,Salt Lake,1,211,6473.21728515625,137750064.0,878345,7.37
06067,Sacramento,1,317,6453.6904296875,137334528.0,1218380,5.3
06001,Alameda,1,359,6282.80224609375,133698032.0,1320914,4.76
12011,Broward,1,360,6197.25537109375,131877592.0,1539395,4.03
06085,Santa Clara,1,372,6115.015625,130127520.0,1504544,4.06
36005,Bronx,1,333,5550.1494140625,118107184.0,1071887,5.18
04019,Pima,1,241,5513.09228515625,117318616.0,841363,6.55
26163,Wayne,1,601,4605.65625,98008368.0,1352595,3.41
12099,Palm Beach,1,331,4406.0927734375,93761664.0,1222641,3.6
48085,Collin,1,152,4289.1396484375,91272880.0,836553,5.13
39049,Franklin,1,283,4158.873046875,88500816.0,1012711,4.11
48141,El Paso,1,160,4118.80322265625,87648128.0,637480,6.46
06013,Contra Costa,1,207,4110.01806640625,87461168.0,903366,4.55
48453,Travis,1,217,3964.196044921875,84358088.0,1039958,3.81
08041,El Paso,1,130,3887.509521484375,82726200.0,563588,6.9
48121,Denton,1,137,3752.97412109375,79863288.0,720747,5.21
06029,Kern,1,151,3716.97021484375,79097136.0,647883,5.74
35001,Bernalillo,1,153,3611.472900390625,76852152.0,535032,6.75
06019,Fresno,1,199,3603.818115234375,76689224.0,728329,4.95
39035,Cuyahoga,1,443,3587.46533203125,76341256.0,991791,3.62
08031,Denver,1,143,3344.5087890625,71171144.0,582914,5.74
25025,Suffolk,1,196,3292.841064453125,70071656.0,655678,5.02
06111,Ventura,1,173,3231.67626953125,68770072.0,652464,4.95
06075,San Francisco,1,195,3217.656005859375,68471712.0,721593,4.46
36059,Nassau,1,279,3162.589599609375,67299912.0,1087999,2.91
40109,Oklahoma,1,240,3087.599609375,65704112.0,596231,5.18
12103,Pinellas,1,244,2994.618896484375,63725492.0,810106,3.7
55079,Milwaukee,1,296,2930.04833984375,62351424.0,706106,4.15
49049,Utah,1,127,2927.569580078125,62298684.0,463691,6.31
12095,Orange,1,206,2921.978515625,62179704.0,1129805,2.59
12057,Hillsborough,1,313,2856.57666015625,60787952.0,1164610,2.45
53053,Pierce,1,172,2793.916015625,59454528.0,709667,3.94
25017,Middlesex,1,317,2752.52880859375,58573808.0,1304428,2.11
34017,Hudson,1,165,2749.51123046875,58509608.0,568180,4.84
06077,San Joaquin,1,139,2700.072509765625,57457544.0,578486,4.67
53063,Spokane,1,105,2699.2041015625,57439068.0,425898,6.34
08005,Arapahoe,1,147,2678.92724609375,57007568.0,505658,5.3
41051,Multnomah,1,170,2643.527587890625,56254268.0,659774,4.01
26099,Macomb,1,213,2610.991943359375,55561912.0,694851,3.76
48215,Hidalgo,1,112,2448.437744140625,52102752.0,604282,4.05
08001,Adams,1,96,2415.597900390625,51403924.0,391408,6.17
16001,Ada,1,59,2385.95263671875,50773072.0,393981,6.06
53061,Snohomish,1,149,2371.727294921875,50470360.0,648013,3.66
08059,Jefferson,1,137,2362.035888671875,50264124.0,470425,5.02
36029,Erie,1,235,2325.135986328125,49478896.0,757491,3.07
06099,Stanislaus,1,94,2313.351806640625,49228128.0,403935,5.73
06081,San Mateo,1,156,2252.706298828125,47937584.0,597036,3.77
34013,Essex,1,210,2202.49072265625,46869004.0,651811,3.38
27053,Hennepin,1,299,2192.46484375,46655652.0,992536,2.21
42003,Allegheny,1,392,2160.54443359375,45976384.0,1008186,2.14
32031,Washoe,1,107,2130.564697265625,45338420.0,388530,5.48
44007,Providence,1,141,2129.90771484375,45324444.0,525159,4.06
48491,Williamson,1,89,2043.06591796875,43476444.0,486290,4.2
18097,Marion,1,224,2025.7723388671875,43108436.0,728172,2.78
40143,Tulsa,1,175,2023.213134765625,43053980.0,503784,4.02
06097,Sonoma,1,99,1994.5389404296875,42443792.0,391704,5.09
04021,Pinal,1,75,1946.558349609375,41422776.0,351626,5.54
12071,Lee,1,165,1945.407470703125,41398268.0,656231,2.96
24510,Baltimore,1,199,1939.7359619140625,41277580.0,456699,4.25
22051,Jefferson,1,124,1871.3812255859375,39822992.0,335494,5.58
06107,Tulare,1,78,1845.0491943359375,39262636.0,332659,5.55
06083,Santa Barbara,1,87,1794.408203125,38185004.0,344367,5.21
06095,Solano,1,95,1749.8104248046875,37235968.0,351400,4.98
22071,Orleans,1,172,1720.64794921875,36615388.0,301614,5.7
