GEOID,name,county_features,prevalence_tracts,preventable_cases,avoided_cost,adult_population,preventable_per_1000_adults
48201,Harris,1,785,21654.96875,460817824.0,3515154,6.16
06037,Los Angeles,1,2323,19861.958984375,422662432.0,7790870,2.55
17031,Cook,1,1314,17943.369140625,381834880.0,4074847,4.4
53033,King,1,397,12757.27734375,271474752.0,1815592,7.03
48113,Dallas,1,527,11603.3662109375,246919616.0,1941989,5.97
48029,Bexar,1,362,10448.5986328125,222346192.0,1529319,6.83
48439,Tarrant,1,356,10007.130859375,212951760.0,1587266,6.3
26163,Wayne,1,601,9808.2255859375,208719040.0,1352595,7.25
04013,Maricopa,1,909,8481.2373046875,180480672.0,3466307,2.45
25017,Middlesex,1,317,8379.8076171875,178322304.0,1304428,6.42
06073,San Diego,1,626,8285.4765625,176314896.0,2588613,3.2
36103,Suffolk,1,322,8261.8369140625,175811888.0,1206356,6.85
12086,Miami-Dade,1,511,8151.5068359375,173464064.0,2144601,3.8
27053,Hennepin,1,299,8051.57275390625,171337488.0,992536,8.11
06059,Orange,1,580,7920.67041015625,168551856.0,2489230,3.18
39049,Franklin,1,283,7643.31298828125,162649712.0,1012711,7.55
12011,Broward,1,360,7240.931640625,154087040.0,1539395,4.7
39035,Cuyahoga,1,443,7031.7373046875,149635360.0,991791,7.09
26125,Oakland,1,337,7020.2646484375,149391232.0,1011540,6.94
12057,Hillsborough,1,313,6962.48486328125,148161696.0,1164610,5.98
48453,Travis,1,217,6938.82470703125,147658192.0,1039958,6.67
42003,Allegheny,1,392,6607.154296875,140600256.0,1008186,6.55
12095,Orange,1,206,6471.6220703125,137716112.0,1129805,5.73
36047,Kings,1,749,6403.0380859375,136256656.0,2051269,3.12
18097,Marion,1,224,6377.9501953125,135722784.0,728172,8.76
12099,Palm Beach,1,331,6107.18408203125,129960888.0,1222641,5.0
37119,Mecklenburg,1,230,6093.48291015625,129669304.0,870043,7.0
36029,Erie,1,235,6034.080078125,128405232.0,757491,7.97
29189,St. Louis,1,199,5984.6025390625,127352344.0,776147,7.71
36055,Monroe,1,190,5917.734375,125929384.0,599082,9.88
53053,Pierce,1,172,5897.62890625,125501560.0,709667,8.31
37183,Wake,1,185,5815.8037109375,123760304.0,881746,6.6
36081,Queens,1,646,5774.0498046875,122871784.0,1869189,3.09
26099,Macomb,1,213,5728.99169921875,121912928.0,694851,8.24
53061,Snohomish,1,149,5699.93798828125,121294696.0,648013,8.8
49035,Salt Lake,1,211,5578.2490234375,118705136.0,878345,6.35
41051,Multnomah,1,170,5542.09716796875,117935832.0,659774,8.4
42101,Philadelphia,1,376,5461.8935546875,116229088.0,1243710,4.39
21111,Jefferson,1,190,5304.640625,112882752.0,604298,8.78
06065,Riverside,1,452,5292.97021484375,112634416.0,1851238,2.86
36059,Nassau,1,279,5223.2841796875,111151488.0,1087999,4.8
24031,Montgomery,1,215,5199.6279296875,110648088.0,814883,6.38
12031,Duval,1,173,5139.35009765625,109365360.0,780482,6.58
06067,Sacramento,1,317,5083.18505859375,108170176.0,1218380,4.17
47157,Shelby,1,219,5080.83935546875,108120256.0,687301,7.39
51059,Fairfax,1,255,4982.86328125,106035328.0,879683,5.66
13121,Fulton,1,202,4958.50537109375,105516976.0,842905,5.88
24005,Baltimore,1,211,4886.5693359375,103986192.0,663161,7.37
48085,Collin,1,152,4858.29833984375,103384592.0,836553,5.81
55079,Milwaukee,1,296,4787.892578125,101886352.0,706106,6.78
36061,New York,1,281,4760.259765625,101298328.0,1398269,3.4
06071,San Bernardino,1,368,4682.74609375,99648848.0,1623837,2.88
47037,Davidson,1,159,4670.03369140625,99378304.0,561736,8.31
39061,Hamilton,1,222,4591.46142578125,97706304.0,636698,7.21
42091,Montgomery,1,211,4539.37744140625,96597960.0,676249,6.71
25027,Worcester,1,172,4528.87353515625,96374440.0,682295,6.64
25009,Essex,1,162,4523.9833984375,96270360.0,637838,7.09
13135,Gwinnett,1,113,4470.404296875,95130200.0,711750,6.28
06085,Santa Clara,1,372,4457.68359375,94859504.0,1504544,2.96
40109,Oklahoma,1,240,4401.796875,93670240.0,596231,7.38
12103,Pinellas,1,244,4374.83056640625,93096400.0,810106,5.4
17043,DuPage,1,216,4342.708984375,92412840.0,719689,6.03
36119,Westchester,1,221,4325.78515625,92052704.0,782149,5.53
48121,Denton,1,137,4299.609375,91495688.0,720747,5.97
06001,Alameda,1,359,4283.48193359375,91152512.0,1320914,3.24
29095,Jackson,1,195,4245.3701171875,90341472.0,548629,7.74
26081,Kent,1,128,4216.51513671875,89727440.0,502551,8.39
36005,Bronx,1,333,4087.68994140625,86986048.0,1071887,3.81
40143,Tulsa,1,175,4025.6826171875,85666528.0,503784,7.99
12105,Polk,1,153,3931.222412109375,83656408.0,592991,6.63
34023,Middlesex,1,175,3912.5107421875,83258232.0,675050,5.8
48157,Fort Bend,1,76,3886.939208984375,82714064.0,628018,6.19
48339,Montgomery,1,59,3881.018310546875,82588072.0,483927,8.02
34003,Bergen,1,179,3876.518798828125,82492312.0,753888,5.14
13067,Cobb,1,120,3871.93115234375,82394696.0,593070,6.53
42017,Bucks,1,142,3859.9775390625,82140312.0,516115,7.48
01073,Jefferson,1,163,3854.487060546875,82023480.0,515654,7.47
