GEOID,name,tracts,preventable_cases,avoided_cost,adult_population,preventable_per_1000_adults
06037,Los Angeles,1,35771.5703125,761219072.0,7790870,4.59
48201,Harris,1,20685.580078125,440189184.0,3515154,5.88
04013,Maricopa,1,19553.294921875,416094112.0,3466307,5.64
17031,Cook,1,19473.4375,414394752.0,4074847,4.78
06073,San Diego,1,12909.490234375,274713984.0,2588613,4.99
06059,Orange,1,12248.7060546875,260652464.0,2489230,4.92
48113,Dallas,1,12212.3017578125,259877776.0,1941989,6.29
53033,King,1,11557.427734375,245942048.0,1815592,6.37
48029,Bexar,1,10714.2890625,228000064.0,1529319,7.01
36047,Kings,1,10685.501953125,227387488.0,2051269,5.21
48439,Tarrant,1,10357.619140625,220410128.0,1587266,6.53
32003,Clark,1,9875.4228515625,210149008.0,1776818,5.56
06065,Riverside,1,9295.3359375,197804672.0,1851238,5.02
12086,Miami-Dade,1,9189.306640625,195548432.0,2144601,4.28
06071,San Bernardino,1,8722.5634765625,185616128.0,1623837,5.37
26163,Wayne,1,8543.1259765625,181797728.0,1352595,6.32
36081,Queens,1,8241.3671875,175376256.0,1869189,4.41
42101,Philadelphia,1,7626.568359375,162293360.0,1243710,6.13
12011,Broward,1,7404.93408203125,157577024.0,1539395,4.81
49035,Salt Lake,1,6975.07275390625,148429552.0,878345,7.94
39049,Franklin,1,6906.47412109375,146969760.0,1012711,6.82
25017,Middlesex,1,6828.7021484375,145314752.0,1304428,5.24
06067,Sacramento,1,6702.330078125,142625600.0,1218380,5.5
27053,Hennepin,1,6603.90283203125,140531040.0,992536,6.65
48453,Travis,1,6490.05859375,138108432.0,1039958,6.24
06001,Alameda,1,6464.00146484375,137553952.0,1320914,4.89
06085,Santa Clara,1,6316.55224609375,134416224.0,1504544,4.2
39035,Cuyahoga,1,6276.59423828125,133565912.0,991791,6.33
12057,Hillsborough,1,5921.40283203125,126007456.0,1164610,5.08
36061,New York,1,5880.73291015625,125142000.0,1398269,4.21
12099,Palm Beach,1,5838.8583984375,124250888.0,1222641,4.78
36005,Bronx,1,5829.728515625,124056624.0,1071887,5.44
36103,Suffolk,1,5688.4287109375,121049768.0,1206356,4.72
12095,Orange,1,5546.54931640625,118030576.0,1129805,4.91
04019,Pima,1,5543.14794921875,117958192.0,841363,6.59
26125,Oakland,1,5369.61767578125,114265464.0,1011540,5.31
42003,Allegheny,1,5322.78271484375,113268808.0,1008186,5.28
18097,Marion,1,5207.5302734375,110816248.0,728172,7.15
48085,Collin,1,5133.830078125,109247904.0,836553,6.14
53053,Pierce,1,5090.134765625,108318096.0,709667,7.17
36029,Erie,1,4957.63623046875,105498488.0,757491,6.54
41051,Multnomah,1,4876.365234375,103769040.0,659774,7.39
26099,Macomb,1,4851.2626953125,103234864.0,694851,6.98
53061,Snohomish,1,4755.6708984375,101200696.0,648013,7.34
37119,Mecklenburg,1,4755.486328125,101196744.0,870043,5.47
36059,Nassau,1,4691.5234375,99835624.0,1087999,4.31
29189,St. Louis,1,4661.76611328125,99202376.0,776147,6.01
55079,Milwaukee,1,4566.841796875,97182392.0,706106,6.47
48121,Denton,1,4527.515625,96345536.0,720747,6.28
37183,Wake,1,4397.0849609375,93569976.0,881746,4.99
06013,Contra Costa,1,4393.03662109375,93483816.0,903366,4.86
36055,Monroe,1,4276.64794921875,91007080.0,599082,7.14
40109,Oklahoma,1,4253.94775390625,90524016.0,596231,7.13
21111,Jefferson,1,4197.48779296875,89322552.0,604298,6.95
48141,El Paso,1,4164.8291015625,88627568.0,637480,6.53
