GEOID,name,county_features,prevalence_tracts,preventable_cases,avoided_cost,adult_population,preventable_per_1000_adults
06037,Los Angeles,1,2323,35810.95703125,762057216.0,7790870,4.6
48201,Harris,1,785,20805.044921875,442731360.0,3515154,5.92
17031,Cook,1,1314,19611.359375,417329728.0,4074847,4.81
04013,Maricopa,1,909,19566.951171875,416384768.0,3466307,5.64
06073,San Diego,1,626,12980.7099609375,276229472.0,2588613,5.01
48113,Dallas,1,527,12345.3359375,262708736.0,1941989,6.36
06059,Orange,1,580,12293.6337890625,261608512.0,2489230,4.94
53033,King,1,397,11916.3994140625,253581024.0,1815592,6.56
36047,Kings,1,749,10819.28125,230234304.0,2051269,5.27
48029,Bexar,1,362,10719.4892578125,228110704.0,1529319,7.01
48439,Tarrant,1,356,10421.087890625,221760752.0,1587266,6.57
32003,Clark,1,487,9877.5087890625,210193392.0,1776818,5.56
06065,Riverside,1,452,9306.2080078125,198036048.0,1851238,5.03
12086,Miami-Dade,1,511,9290.0224609375,197691696.0,2144601,4.33
06071,San Bernardino,1,368,8728.591796875,185744336.0,1623837,5.38
26163,Wayne,1,601,8660.0380859375,184285584.0,1352595,6.4
36081,Queens,1,646,8554.10546875,182031376.0,1869189,4.58
36061,New York,1,281,8154.76220703125,173533344.0,1398269,5.83
42101,Philadelphia,1,376,7787.93603515625,165727280.0,1243710,6.26
12011,Broward,1,360,7418.0712890625,157856560.0,1539395,4.82
25017,Middlesex,1,317,7089.853515625,150872096.0,1304428,5.44
39049,Franklin,1,283,7015.63232421875,149292656.0,1012711,6.93
49035,Salt Lake,1,211,6984.93701171875,148639488.0,878345,7.95
06067,Sacramento,1,317,6717.95703125,142958112.0,1218380,5.51
27053,Hennepin,1,299,6644.98388671875,141405264.0,992536,6.69
48453,Travis,1,217,6518.94921875,138723248.0,1039958,6.27
06001,Alameda,1,359,6495.232421875,138218560.0,1320914,4.92
39035,Cuyahoga,1,443,6374.5595703125,135650640.0,991791,6.43
06085,Santa Clara,1,372,6322.19189453125,134536256.0,1504544,4.2
36103,Suffolk,1,322,6248.8515625,132975544.0,1206356,5.18
36005,Bronx,1,333,6050.25537109375,128749440.0,1071887,5.64
12057,Hillsborough,1,313,5952.79443359375,126675456.0,1164610,5.11
12099,Palm Beach,1,331,5930.84326171875,126208352.0,1222641,4.85
12095,Orange,1,206,5618.84326171875,119568968.0,1129805,4.97
42003,Allegheny,1,392,5578.166015625,118703360.0,1008186,5.53
04019,Pima,1,241,5544.49755859375,117986920.0,841363,6.59
26125,Oakland,1,337,5512.31787109375,117302112.0,1011540,5.45
18097,Marion,1,224,5292.2294921875,112618640.0,728172,7.27
53053,Pierce,1,172,5241.84033203125,111546360.0,709667,7.39
48085,Collin,1,152,5179.14697265625,110212240.0,836553,6.19
36029,Erie,1,235,5117.263671875,108895376.0,757491,6.76
41051,Multnomah,1,170,5001.919921875,106440848.0,659774,7.58
53061,Snohomish,1,149,4962.669921875,105605616.0,648013,7.66
26099,Macomb,1,213,4913.77685546875,104565168.0,694851,7.07
37119,Mecklenburg,1,230,4892.48779296875,104112136.0,870043,5.62
36059,Nassau,1,279,4828.1005859375,102741984.0,1087999,4.44
29189,St. Louis,1,199,4712.99755859375,100292592.0,776147,6.07
55079,Milwaukee,1,296,4617.5322265625,98261088.0,706106,6.54
48121,Denton,1,137,4610.5615234375,98112744.0,720747,6.4
37183,Wake,1,185,4566.38671875,97172712.0,881746,5.18
